"Horodateur","In which section are you?","How many credits have you currently achieved?","How many of these credits were obtained outside the EDCE coursebook?","How did you proceed to select the course(s) you attended? (Multiple choices are possible)","Select the type(s) of course format that you prefer? (Multiple choices are possible)","Tick in the list below the item which contributes the most to your progression during the thesis? (Multiple choices are possible)","How would you grade (in general) the EDCE course book?","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Data Analysis for Science and Engineering]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Optimization and simulation]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Fourier analysis and boundary value problems]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Scientific programming for engineers]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Information Science in Engineering]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Understanding Statistics and Experimental design]","Comments on your ratings?","Which of the mandatory courses have you followed (and got credits for)?","What about the other recommended courses?","Ideally, I would like to have [...] [more courses on general engineering topics.]","Ideally, I would like to have [...] [more specific courses (closer to my research).]","Ideally, I would like to have [...] [courses developing my soft skills.]","Ideally, I would like to have [...] [more workshops.]","Ideally, I would like to have [...] [more research related courses.]","Ideally, I would like to have [...] [more summer/winter schools.]","If you could improve one thing right now, what would it be?","If you could suggest an additional EDCE course, what would it be?","Anything else that you would like to share with us?"
"2019/04/18 7:46:37 PM UTC+2","Environmental Science","8","0","On the EDCE program webpage;After reading the course book of other doctoral programs;After discussing with my colleagues","Block course (5-10 days of courses in a row);Project-oriented learning;Summer/Winter school","Summer/Winter Schools;Conferences and congresses outside EPFL;Courses other than the mandatory ones","3","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Not enough variety of good courses","Data Analysis for Science and Engineering","Useless","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Agree","Agree","More block courses across all EPFL","Stochastic modelling or model calibration","Why google form ? Very high friction to log in."
"2019/04/30 11:17:26 AM UTC+2","Civil Engineering","0","0","On the EDCE program webpage","Semester course (2-3 hours every week during one semester)","Soft skill courses","7","Agree","Agree","Agree","Agree","Agree","Agree","","Data Analysis for Science and Engineering","Neutral","Agree","Agree","Agree","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","","",""
"2019/04/30 11:30:26 AM UTC+2","Environmental Science","8","4","On the EDCE program webpage;After discussing with my colleagues","Block course (5-10 days of courses in a row);Summer/Winter school","Summer/Winter Schools;Teaching assistanship;Courses other than the mandatory ones","4","Undecided / Neutral","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Agree","","Scientific programming for engineers","Fairly useful","Strongly Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","","",""
"2019/04/30 11:34:31 AM UTC+2","Civil Engineering","13","2","After reading the course book of other doctoral programs","MOOC (Online course);Summer/Winter school","Seminars offered on campus;Teaching assistanship;Courses other than the mandatory ones","5","Strongly Agree","Strongly Agree","Undecided / Neutral","Strongly Agree","Strongly Disagree","Disagree","","Scientific programming for engineers;Understanding Statistics and Experimental design","Neutral","Undecided / Neutral","Agree","Disagree","Agree","Strongly Disagree","Agree","Introduce a machine learning course","machine learning and deep learning",""
"2019/04/30 12:16:13 PM UTC+2","Civil Engineering","15","2","On the EDCE program webpage;Using IS-Academia course book","Semester course (2-3 hours every week during one semester);Reading/journal club;Project-oriented learning","Summer/Winter Schools;Courses other than the mandatory ones","6","Agree","Strongly Agree","Disagree","Strongly Agree","Undecided / Neutral","Disagree","","Optimization and simulation","Neutral","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","","",""
"2019/04/30 12:21:02 PM UTC+2","Civil Engineering","0","0","On the EDCE program webpage","Block course (5-10 days of courses in a row);Project-oriented learning","feedback and meetings with advisors and other phd students in lab","6","Undecided / Neutral","Agree","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","I am currently enrolled in DA and OS, the idea of DA is more relevant than the execution of the course (at least so far)","None of them","Neutral","Undecided / Neutral","Agree","Agree","Agree","Disagree","Undecided / Neutral","","",""
"2019/04/30 1:16:47 PM UTC+2","Civil Engineering","6","0","On the EDCE program webpage;Following my advisor suggestions;After reading the course book of other doctoral programs;After discussing with my colleagues","Semester course (2-3 hours every week during one semester);Class from the bachelor/master course books;Project-oriented learning","Seminars offered on campus","6","Disagree","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","","Data Analysis for Science and Engineering","Fairly useful","Disagree","Strongly Agree","Agree","Agree","Agree","Undecided / Neutral","course management when there is more than 1 professor taking it","",""
"2019/04/30 3:03:24 PM UTC+2","Environmental Science","4","0","Using IS-Academia course book;After discussing with my colleagues","Semester course (2-3 hours every week during one semester)","Summer/Winter Schools;Courses other than the mandatory ones","5","Strongly Agree","Disagree","Disagree","Agree","Undecided / Neutral","Agree","","Scientific programming for engineers","Neutral","Disagree","Strongly Agree","Undecided / Neutral","Agree","Agree","Agree","","",""
"2019/05/01 8:56:02 AM UTC+2","Civil Engineering","0","0","On the EDCE program webpage;Following my advisor suggestions;Using IS-Academia course book;After discussing with my colleagues","Block course (5-10 days of courses in a row);MOOC (Online course);Semester course (2-3 hours every week during one semester);Project-oriented learning","Conferences and congresses outside EPFL;Soft skill courses;Courses other than the mandatory ones","6","Agree","Agree","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Agree","I can not say relevant or not if do not take it.. The name of the course is not content and result..","Data Analysis for Science and Engineering","Neutral","Agree","Undecided / Neutral","Agree","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","More freedom for PhD for their own projects or extra work","ML / Python / Business concept (like soft / management) course","Why do we need mandatory course during first year? It is bad when the available course are not good but it intersects with other more interesting courses... 1 mandatory course during 2 years is Ok"
"2019/05/01 4:06:58 PM UTC+2","Environmental Science","14","4","Following my advisor suggestions;After reading the course book of other doctoral programs;After discussing with my colleagues","Block course (5-10 days of courses in a row);Project-oriented learning","Mandatory courses","5","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Strongly Agree","Undecided / Neutral","Undecided / Neutral","Impossible to judge for courses I did not follow","Scientific programming for engineers","Neutral","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","More block courses / workshops / summer schools","Machine learning and data mining","In general I was quite satisfied with my courses. I think block courses on a specific subject are the most valuable"
"2019/05/02 8:00:08 AM UTC+2","Civil Engineering","3","0","On the EDCE program webpage;After discussing with my colleagues","Block course (5-10 days of courses in a row);Project-oriented learning","Courses other than the mandatory ones","5","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","","None of them","Not very useful","Agree","Agree","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","Undecided / Neutral","","",""
